Regiocode;Regionaam;Soort regio;Aantal inwoners;0015;1525;2545;4565;65+
GM0606;Schiedam;Gemeente;78.730;12.381;9.326;21.772;21.566;13.685
GM0088;Schiermonnikoog;Gemeente;947;95;89;193;298;272
GM1676;Schouwen Duiveland;Gemeente;33.839;4.671;3.457;6.381;10.079;9.251
GM0965;Simpelveld;Gemeente;10.555;1.363;1.012;2.103;3.310;2.767
GM1702;Sint Anthonis;Gemeente;11.664;1.701;1.451;2.287;3.695;2.530
GM0845;Sint Michielsgestel;Gemeente;29.208;4.789;3.306;5.972;8.823;6.318
GM1883;Sittard Geleen;Gemeente;92.429;11.508;9.804;20.648;28.244;22.225
GM0610;Sliedrecht;Gemeente;25.220;4.525;2.964;6.249;6.382;5.100
GM1714;Sluis;Gemeente;23.210;2.887;2.116;4.552;7.009;6.646
GM0090;Smallingerland;Gemeente;56.150;9.018;6.705;12.724;15.736;11.967
GM0342;Soest;Gemeente;46.606;7.474;5.367;9.737;13.515;10.513
GM0847;Someren;Gemeente;19.368;2.785;2.300;4.448;5.914;3.921
GM0848;Son en Breugel;Gemeente;17.322;2.917;1.915;3.741;4.863;3.886
GM0037;Stadskanaal;Gemeente;31.686;4.429;3.487;6.306;9.465;7.999
GM0180;Staphorst;Gemeente;17.145;3.851;2.544;3.968;4.122;2.660
GM0532;Stede Broec;Gemeente;21.726;3.507;2.602;4.888;5.932;4.797
GM0851;Steenbergen;Gemeente;24.416;3.361;2.707;5.504;7.533;5.311
GM1708;Steenwijkerland;Gemeente;44.126;6.851;5.147;9.296;12.955;9.877
GM0971;Stein;Gemeente;25.007;2.998;2.433;4.993;7.739;6.844
GM1904;Stichtse Vecht;Gemeente;64.931;10.994;7.032;14.416;19.132;13.357
GM1900;Súdwest Fryslân;Gemeente;89.987;14.461;10.421;18.495;26.332;20.278
GM0715;Terneuzen;Gemeente;54.426;7.574;5.512;11.643;15.933;13.764
GM0093;Terschelling;Gemeente;4.888;569;759;1.004;1.402;1.154
GM0448;Texel;Gemeente;13.575;1.766;1.369;2.664;4.294;3.482
GM1525;Teylingen;Gemeente;37.440;6.020;4.611;8.226;11.273;7.310
GM0716;Tholen;Gemeente;25.757;4.709;3.216;5.820;7.021;4.991
GM0281;Tiel;Gemeente;42.159;6.500;5.342;10.403;12.279;7.635
GM0855;Tilburg;Gemeente;219.789;31.961;33.790;60.502;56.274;37.262
GM0183;Tubbergen;Gemeente;21.275;3.387;3.065;4.332;6.365;4.126
GM1700;Twenterand;Gemeente;33.743;6.068;4.317;7.418;9.521;6.419
GM1730;Tynaarlo;Gemeente;33.887;5.740;3.223;6.320;10.344;8.260
GM0737;Tytsjerksteradiel;Gemeente;32.052;5.195;3.677;6.563;9.095;7.522
GM0856;Uden;Gemeente;42.119;6.440;4.943;9.870;11.823;9.043
GM0450;Uitgeest;Gemeente;13.666;2.261;1.742;3.098;4.093;2.472
GM0451;Uithoorn;Gemeente;29.478;4.807;3.525;6.917;8.773;5.456
GM0184;Urk;Gemeente;21.031;5.909;3.439;5.590;4.060;2.033
GM0344;Utrecht;Gemeente;357.597;60.477;52.690;131.315;75.839;37.276
GM1581;Utrechtse Heuvelrug;Gemeente;49.580;7.870;5.546;9.120;14.856;12.188
GM0981;Vaals;Gemeente;10.105;1.035;1.273;1.836;3.136;2.825
GM0994;Valkenburg aan de Geul;Gemeente;16.367;1.787;1.559;3.092;5.142;4.787
GM0858;Valkenswaard;Gemeente;31.193;4.161;3.279;6.671;9.133;7.949
GM0047;Veendam;Gemeente;27.384;4.092;3.028;5.796;8.215;6.253
GM0345;Veenendaal;Gemeente;66.493;12.166;8.456;16.477;17.317;12.077
GM0717;Veere;Gemeente;21.880;3.258;2.374;3.996;6.330;5.922
GM0861;Veldhoven;Gemeente;45.466;6.900;4.881;10.543;13.298;9.844
GM0453;Velsen;Gemeente;68.648;10.419;8.203;15.200;20.860;13.966
GM0983;Venlo;Gemeente;101.802;14.515;11.439;24.107;29.460;22.281
GM0984;Venray;Gemeente;43.614;6.315;5.219;9.714;13.003;9.363
GM1961;Vijfheerenlanden;Gemeente;56.811;9.728;6.853;13.425;15.373;11.432
GM0622;Vlaardingen;Gemeente;73.397;11.742;8.000;18.601;19.488;15.566
GM0096;Vlieland;Gemeente;1.155;116;159;282;381;217
GM0718;Vlissingen;Gemeente;44.360;6.298;4.991;10.134;12.345;10.592
GM0986;Voerendaal;Gemeente;12.475;1.710;1.204;2.345;3.845;3.371
GM0626;Voorschoten;Gemeente;25.596;4.467;2.774;5.264;7.115;5.976
GM0285;Voorst;Gemeente;24.552;3.847;2.703;4.719;7.440;5.843
GM0865;Vught;Gemeente;26.558;4.609;2.705;5.873;7.762;5.609
GM1949;Waadhoeke;Gemeente;46.090;7.185;5.383;9.547;13.800;10.175
